time	sn_day_avg	sn_day_max	sn_day_min	sm_day_avg	sm_day_max	sm_day_min	sx_day_avg	sx_day_max	sx_day_min	dn_day_avg	dn_day_max	dn_day_min	dm_day_avg	dm_day_max	dm_day_min	dx_day_avg	dx_day_max	dx_day_min	ta_day_avg	ta_day_max	ta_day_min	pa_day_avg	pa_day_max	pa_day_min	ua_day_avg	ua_day_max	ua_day_min	rc_day_avg	rc_day_max	rc_day_min	rd_day_avg	rd_day_max	rd_day_min	ri_day_avg	ri_day_max	ri_day_min	
2018-02-16 00:00:00+01	0.44	2.90	0.00	1.37	5.20	0.10	2.29	7.60	0.30	197.70	359.00	0.00	231.13	359.00	0.00	213.00	359.00	0.00	-0.04	2.30	-2.20	996.12	999.50	993.40	71.52	77.60	58.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-17 00:00:00+01	0.29	1.70	0.00	0.88	3.30	0.10	1.46	4.80	0.20	168.39	358.00	0.00	201.48	357.00	3.00	214.17	359.00	0.00	1.07	5.20	-2.80	997.08	999.90	994.50	66.01	76.60	52.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-18 00:00:00+01	0.56	3.90	0.00	1.50	5.30	0.10	2.48	8.30	0.30	258.26	359.00	0.00	222.91	359.00	0.00	115.61	359.00	0.00	1.30	2.90	0.30	998.28	1000.70	994.80	60.29	72.80	47.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-19 00:00:00+01	0.59	3.00	0.00	1.90	5.00	0.40	3.33	8.30	0.80	143.13	359.00	0.00	89.17	355.00	3.00	148.48	313.00	16.00	0.66	3.10	-2.00	996.81	1000.20	993.30	48.12	60.70	38.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-20 00:00:00+01	0.59	3.10	0.00	2.27	5.30	0.50	4.05	9.90	1.10	157.04	359.00	0.00	68.26	122.00	14.00	132.65	245.00	39.00	-2.37	-0.10	-5.20	991.04	993.10	989.90	62.15	71.70	51.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-21 00:00:00+01	0.67	3.30	0.00	1.69	4.60	0.20	2.68	6.40	0.50	194.09	359.00	0.00	112.61	359.00	0.00	114.04	358.00	0.00	-2.56	-1.00	-4.30	992.77	994.90	990.60	63.77	67.70	58.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-22 00:00:00+01	0.73	3.80	0.00	2.64	5.50	0.20	4.64	9.90	0.50	159.87	359.00	0.00	63.26	358.00	5.00	123.09	357.00	16.00	-2.12	-0.90	-3.00	994.71	995.30	994.20	61.96	69.90	53.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-23 00:00:00+01	0.81	4.30	0.00	2.46	6.40	0.30	4.13	8.40	0.90	180.04	359.00	0.00	59.48	359.00	0.00	103.52	233.00	2.00	-3.44	-2.10	-4.70	994.43	995.50	993.30	64.50	72.70	56.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-24 00:00:00+01	0.85	4.70	0.00	2.35	7.80	0.30	3.85	11.20	0.70	240.61	359.00	0.00	187.61	359.00	0.00	125.17	359.00	0.00	-6.38	-3.00	-10.10	995.17	999.50	993.30	60.90	75.30	48.60	0.00	0.00	0.00	6.96	20.00	0.00	0.00	0.00	0.00	
2018-02-25 00:00:00+01	0.65	3.60	0.00	1.80	4.90	0.30	2.99	6.70	0.70	268.26	359.00	0.00	171.70	359.00	0.00	71.35	359.00	0.00	-11.18	-8.90	-13.70	1000.00	1001.10	999.20	59.24	67.80	49.60	0.00	0.00	0.00	0.87	20.00	0.00	0.00	0.00	0.00	
2018-02-26 00:00:00+01	0.81	3.80	0.00	2.61	6.30	0.50	4.45	9.80	1.10	161.87	359.00	0.00	56.17	121.00	9.00	116.00	242.00	43.00	-10.74	-8.20	-13.10	996.74	999.50	994.10	59.76	69.10	47.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-27 00:00:00+01	0.88	4.50	0.10	3.33	6.80	0.70	5.94	11.10	1.40	173.35	359.00	0.00	60.00	115.00	13.00	125.83	240.00	45.00	-11.83	-10.10	-13.40	991.78	994.00	990.50	58.62	64.00	53.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-28 00:00:00+01	0.76	4.40	0.00	2.49	6.70	0.20	4.26	9.90	0.60	182.26	359.00	0.00	69.00	358.00	1.00	123.52	347.00	0.00	-10.92	-8.70	-12.80	995.01	997.30	992.10	61.36	67.80	49.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-01 00:00:00+01	0.53	3.00	0.00	1.71	4.90	0.20	3.04	8.30	0.40	177.22	359.00	0.00	135.30	359.00	0.00	180.70	359.00	2.00	-10.76	-7.30	-15.20	991.46	996.30	986.00	58.74	70.90	46.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-02 00:00:00+01	0.72	4.10	0.00	2.53	6.50	0.50	4.39	9.00	1.20	164.22	359.00	0.00	61.91	109.00	20.00	124.65	244.00	42.00	-10.03	-4.60	-15.40	978.78	985.50	974.50	56.13	67.70	44.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-03 00:00:00+01	0.45	2.60	0.00	1.26	3.90	0.20	2.12	5.20	0.40	209.00	359.00	0.00	128.57	359.00	0.00	125.30	359.00	0.00	-9.40	-4.60	-13.60	977.20	979.60	975.70	53.14	64.10	40.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-04 00:00:00+01	0.40	2.30	0.00	1.17	3.40	0.20	1.99	5.00	0.50	163.87	359.00	0.00	158.30	359.00	0.00	171.74	359.00	0.00	-7.01	0.00	-14.60	981.21	982.80	979.80	52.20	68.70	34.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-05 00:00:00+01	0.37	2.30	0.00	1.09	3.60	0.10	1.84	5.20	0.30	172.17	359.00	0.00	104.65	359.00	0.00	139.43	358.00	0.00	-0.77	6.20	-8.60	977.19	980.40	973.90	49.58	64.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-06 00:00:00+01	0.41	2.30	0.00	1.26	3.90	0.10	2.09	5.80	0.30	175.30	359.00	0.00	103.87	359.00	0.00	132.96	359.00	1.00	3.05	6.20	0.80	969.08	973.90	965.90	62.27	79.00	47.50	0.10	0.29	0.00	945.04	2650.00	0.00	0.01	1.40	0.00	
2018-03-07 00:00:00+01	0.64	5.10	0.00	1.88	8.10	0.10	3.01	11.70	0.20	190.78	358.00	0.00	213.00	359.00	0.00	222.17	359.00	0.00	4.36	9.40	-0.40	969.44	974.60	966.80	67.88	82.70	46.50	0.01	0.29	0.00	117.13	2650.00	0.00	0.00	0.00	0.00	
2018-03-08 00:00:00+01	0.65	4.90	0.00	1.94	8.50	0.10	3.20	11.80	0.20	201.39	359.00	0.00	236.74	359.00	0.00	232.91	359.00	0.00	5.38	10.20	-0.50	978.67	982.00	974.90	59.69	77.40	41.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-09 00:00:00+01	0.71	5.30	0.00	2.17	8.00	0.10	3.60	12.80	0.20	235.17	359.00	1.00	268.91	358.00	0.00	242.17	359.00	0.00	4.31	10.10	-1.10	982.06	984.00	979.80	56.87	73.50	34.30	0.52	0.81	0.00	1787.52	2800.00	0.00	0.03	2.50	0.00	
2018-03-10 00:00:00+01	0.29	2.40	0.00	0.80	3.40	0.10	1.33	4.50	0.20	202.17	359.00	0.00	198.70	359.00	0.00	193.17	359.00	0.00	6.68	14.30	-0.80	982.93	984.20	981.70	56.70	73.20	38.30	0.04	0.81	0.00	123.78	2800.00	0.00	0.00	0.00	0.00	
